order_id,date_id,location_id,user_id,product_ids,amount,returned
63,23,223,187,"['B07DL1KC3H', 'B09QGZFBPM', 'B00LHZWD0C', 'B0B7DHSKS7', 'B0981XSZJ7']",5048.0,False
64,24,743,966,"['B09LQQYNZQ', 'B09939XJX8', 'B0BN6M3TCM', 'B07T4D9FNY']",6216.0,False
65,22,1403,250,"['B0972BQ2RS', 'B08YK7BBD2', 'B005FYNT3G']",3217.0,False
66,17,48,1076,"['B096TWZRJC', 'B0BMGG6NKT', 'B0BCKWZ884', 'B005LJQMCK']",11961.0,False
67,25,822,400,['B0978V2CP6'],1990.0,False
68,11,400,868,['B09SGGRKV8'],199.0,False
69,28,852,230,"['B09DL9978Y', 'B07SBGFDX9', 'B07JPX9CR7']",3088.0,False
70,6,1401,1166,"['B08TDJ5BVF', 'B08H9Z3XQW', 'B0BL3R4RGS', 'B09SB6SJB4']",1272.0,False
71,13,1254,1106,"['B00LZLPYHW', 'B01J8S6X2I']",636.0,False
72,28,524,1171,"['B0B6F98KJJ', 'B07S7DCJKS', 'B0B54Y2SNX', 'B09KNMLH4Y', 'B09BVCVTBC']",26044.0,False
73,8,317,1014,"['B095X38CJS', 'B0B3RRWSF6']",4095.0,False
74,16,815,283,"['B074CWD7MS', 'B0BC9BW512', 'B00EDJJ7FS']",23777.0,False
75,23,500,146,"['B08FB2LNSZ', 'B09X76VL5L', 'B08K4RDQ71']",3447.0,False
76,21,459,159,"['B07DJLFMPS', 'B09ZHCJDP1', 'B075DB1F13', 'B08CF3D7QR', 'B07B88KQZ8']",5198.0,False
77,3,1098,83,"['B07DXRGWDJ', 'B00NW4UWN6', 'B0BNDD9TN6']",19313.0,False
78,20,1057,1180,"['B07TTSS5MP', 'B0B1YZX72F', 'B07WHS7MZ1', 'B00NH11PEY']",60186.0,True
79,29,776,413,"['B09DL9978Y', 'B09XX51X2G']",2848.0,False
80,23,1055,282,"['B00K32PEW4', 'B09LJ116B5']",17534.0,False
81,30,1056,642,"['B09RF2QXGX', 'B09FHHTL8L', 'B00CEQEGPI', 'B01DEWVZ2C', 'B09H7JDJCW']",5696.0,False
82,19,933,25,['B07WGPKTS4'],13999.0,False
83,17,1327,519,"['B08MXJYB2V', 'B0B54Y2SNX', 'B0B8SRZ5SV', 'B0756CLQWL', 'B09M869Z5V']",6466.0,False
84,26,703,256,"['B091V8HK8Z', 'B0B3DV7S9B']",1554.0,False
85,10,1154,972,"['B0B6BLTGTT', 'B09VH568H7', 'B07MP21WJD']",3363.0,False
86,28,1434,532,"['B07PFJ5VQD', 'B0B5GJRTHB', 'B07XJWTYM2']",2727.0,False
87,19,524,261,"['B07YTNKVJQ', 'B08SCCG9D4']",1448.0,False
88,29,1320,615,['B00E9G8KOY'],600.0,False
89,12,328,72,"['B01DEWVZ2C', 'B00P93X2H6', 'B09Y358DZQ', 'B097R4D42G', 'B07KKJPTWB']",9896.0,False
90,18,1122,78,"['B0162LYSFS', 'B09YV4MW2T', 'B07VVXJ2P5']",5293.0,False
91,8,595,471,['B0083T231O'],1289.0,False
92,25,1046,279,['B00LP9RFSU'],825.0,False
93,19,334,607,"['B08S6RKT4L', 'B07XLML2YS']",5098.0,False
94,13,292,335,"['B01N6IJG0F', 'B00LM4X0KU', 'B0814P4L98']",1010.0,False
95,10,1113,1050,"['B08TT63N58', 'B08PKBMJKS', 'B09MB3DKG1']",2895.0,False
96,15,698,834,['B0141EZMAI'],538.0,False
97,17,598,1037,"['B00ABMASXG', 'B09RWQ7YR6', 'B0B4HJNPV4', 'B00N3XLDW0', 'B076VQS87V']",48692.0,False
98,19,454,1131,"['B08VF8V79P', 'B0711PVX6Z']",1254.0,False
99,24,46,327,['B078JDNZJ8'],3600.0,False
100,7,1347,572,"['B082T6V3DT', 'B07JH1CBGW', 'B0819ZZK5K', 'B0B3XXSB1K']",52145.0,False
101,20,1310,145,['B008QS9J6Y'],1990.0,False
102,7,1405,274,"['B08CDKQ8T6', 'B0083T231O', 'B084MZXJN6', 'B00K57MR22', 'B00V4BGDKU']",9815.0,False
103,3,318,872,"['B09HS1NDRQ', 'B08H5L8V1L', 'B09SB6SJB4', 'B0B4F1YC3J']",14897.0,False
104,20,250,259,"['B01M6453MB', 'B09NNGHG22', 'B08PFSZ7FH', 'B09MZCQYHZ', 'B07Y5FDPKV']",38313.0,False
105,20,1251,603,"['B07SY4C3TD', 'B0798PJPCL', 'B0B3JSWG81']",2684.0,False
106,11,1375,425,"['B08BG4M4N7', 'B07QCWY5XV', 'B09CMQRQM6', 'B09JSW16QD', 'B0B1YY6JJL']",26144.99,False
107,15,949,22,"['B082LSVT4B', 'B01LWYDEQ7', 'B082T6V3DT', 'B09JS562TP']",4493.0,False
108,11,689,785,"['B0B1YY6JJL', 'B0912WJ87V', 'B08XMSKKMM', 'B075ZTJ9XR', 'B08GM5S4CQ']",34396.0,False
109,22,1255,590,"['B09XB1R2F3', 'B09QGZFBPM']",578.0,False
110,11,740,1119,"['B07DKZCZ89', 'B08TZD7FQN']",418.0,False
111,25,22,1161,['B082FTPRSK'],999.0,False
112,20,193,308,"['B0BMXMLSMM', 'B07WVQG8WZ', 'B072NCN9M4']",12583.0,False
113,25,781,444,"['B00KIDSU8S', 'B00B7GKXMG']",2698.0,False
114,7,18,308,"['B00NH11PEY', 'B07T5DKR5D', 'B00H47GVGY']",1746.0,False
115,3,701,1177,"['B094G9L9LT', 'B071R3LHFM']",3898.0,False
116,22,966,1028,"['B008FWZGSG', 'B0162LYSFS', 'B07L9FW9GF', 'B077Z65HSD', 'B08JMC1988']",4042.0,False
117,30,1037,755,"['B0B21C4BMX', 'B08WD18LJZ', 'B0B217Z5VK', 'B086JTMRYL', 'B07QCWY5XV']",4394.0,False
118,18,859,25,"['B08ZHYNTM1', 'B08CGW4GYR', 'B0B3XY5YT4', 'B09ZPL5VYM', 'B008QTK47Q']",36077.0,False
119,20,826,780,"['B09TBCVJS3', 'B07232M876', 'B08243SKCK', 'B0B3NDPCS9']",10584.0,False
120,20,1142,1192,"['B09QS8V5N8', 'B08MTLLSL8', 'B08BCKN299', 'B0B5LVS732']",17535.0,False
121,28,1022,332,"['B071R3LHFM', 'B09J4YQYX3']",4298.0,False
122,4,1004,117,['B07XCM6T4N'],349.0,False
123,14,1151,163,"['B08FN6WGDQ', 'B08D11DZ2W', 'B0B296NTFV', 'B08ZXZ362Z']",8151.0,False
124,1,336,682,"['B09ZPL5VYM', 'B016MDK4F4', 'B09KRHXTLN']",1453.0,False
125,31,230,345,"['B084N18QZY', 'B0974G5Q2Y']",872.1,False
126,26,136,941,['B09GFWJDY1'],499.0,False
127,23,1424,265,"['B09XXZXQC1', 'B0B4F2TTTS', 'B0B97D658R', 'B0BDG6QDYD', 'B0BNDD9TN6']",53386.0,False
128,22,668,336,"['B08QHLXWV3', 'B00W56GLOQ']",9549.0,False
129,2,606,965,"['B0B2C5MJN6', 'B098TV3L96', 'B00LOD70SC']",33517.0,False
130,29,955,313,"['B09KLVMZ3B', 'B01F25X6RQ', 'B07JGDB5M1']",1425.0,True
131,28,1167,737,"['B09BW334ML', 'B07YL54NVJ']",898.0,False
132,26,1224,137,"['B07L5L4GTB', 'B09GFN8WZL', 'B095XCRDQW', 'B08K4RDQ71', 'B01486F4G6']",4849.0,False
133,7,167,919,"['B01FSYQ2A4', 'B08Y1SJVV5', 'B0B2DD66GS']",4325.0,False
134,16,1129,38,"['B01N6LU1VF', 'B008P7IF02']",5378.0,False
135,16,529,1106,['B08CGW4GYR'],375.0,False
136,15,1317,256,['B0BPCJM7TB'],259.0,False
137,20,961,282,"['B00LY12TH6', 'B07H5PBN54', 'B09PLD9TCD', 'B07L1N3TJX', 'B08SBH499M']",30576.0,False
138,28,1073,1064,['B0BMM7R92G'],249.0,False
139,1,904,1015,"['B077T3BG5L', 'B09QS9X16F', 'B07DJLFMPS', 'B01EJ5MM5M']",17564.0,False
140,8,46,486,['B005LJQMCK'],416.0,False
141,3,79,3,"['B0B217Z5VK', 'B08HVJCW95', 'B07KR5P3YD']",3396.0,False
142,27,398,620,"['B012ELCYUG', 'B0B8SSC5D9', 'B092BL5DCX', 'B08XLR6DSB']",48304.0,False
143,6,10,555,"['B09XB8GFBQ', 'B07J2NGB69', 'B098TV3L96', 'B008FWZGSG', 'B07YC8JHMB']",19374.0,False
144,23,595,1046,"['B07XLCFSSN', 'B00B7GKXMG']",3396.0,False
145,17,1103,285,"['B07Y1RCCW5', 'B092BL5DCX', 'B085194JFL', 'B07V5YF4ND', 'B07JF9B592']",48524.0,False
146,5,19,689,"['B09YV575RK', 'B01N6IJG0F', 'B08GTYFC37', 'B09DL9978Y', 'B082T6V3DT']",18243.0,False
147,20,356,776,"['B09GFM8CGS', 'B09SJ1FTYV']",6698.0,False
148,19,1237,691,"['B09NVPSCQT', 'B08CF3B7N1', 'B07K2HVKLL']",4300.0,False
149,23,588,400,"['B085DTN6R2', 'B09VH568H7', 'B07B88KQZ8']",3168.0,False
150,2,1248,556,"['B0B694PXQJ', 'B01M6453MB', 'B09RFB2SJQ', 'B0B9XN9S3W']",11577.0,False
151,14,936,425,"['B08S6RKT4L', 'B08XMG618K']",2824.0,False
152,21,1073,499,"['B00NH11PEY', 'B0BF563HB4']",2197.0,False
153,24,631,911,"['B08HDJ86NZ', 'B07GVGTSLN', 'B07B275VN9']",1816.0,False
154,7,1317,786,"['B085HY1DGR', 'B0B4HJNPV4']",596.0,False
155,3,1414,92,"['B08SKZ2RMG', 'B07NPBG1B4', 'B0B9XN9S3W']",10456.84,False
156,6,992,218,['B095K14P86'],599.0,False
157,6,14,301,"['B0B56YRBNT', 'B09ND94ZRG', 'B09GP6FBZT']",10397.0,False
158,17,870,58,"['B07W14CHV8', 'B00H3H03Q4']",1329.0,False
159,4,239,498,"['B0BD92GDQH', 'B096NTB9XT']",20998.0,False
160,13,1178,874,"['B09HV71RL1', 'B0BK1K598K', 'B07LDPLSZC']",2246.0,False
161,19,1191,1124,"['B09BNXQ6BR', 'B01DEWVZ2C', 'B08RWCZ6SY']",4396.0,False
162,23,1382,821,"['B07YL54NVJ', 'B08RZ5K9YH', 'B07YC8JHMB', 'B09MT6XSFW', 'B0BBN3WF7V']",16845.0,False
163,15,824,20,"['B00BN5SNF0', 'B085HY1DGR']",448.0,False
164,25,721,773,['B09J4YQYX3'],1399.0,False
165,21,1107,805,"['B0BBFJ9M3X', 'B0B6F7LX4C', 'B07JGDB5M1']",28447.0,False
166,26,674,84,"['B09Y5FZK9N', 'B09CTWFV5W']",8008.0,False
167,18,1026,6,['B078JDNZJ8'],3600.0,False
168,8,307,262,"['B083GQGT3Z', 'B08CDKQ8T6']",707.0,False
169,15,1011,545,['B00SH18114'],160.0,False
170,1,64,778,"['B09PNR6F8Q', 'B082LZGK39']",647.0,False
171,26,683,936,"['B09F6KL23R', 'B09MQ9PDHR', 'B0188KPKB2', 'B09SDDQQKP', 'B017NC2IPM']",9590.0,False
172,3,1400,11,"['B097RJ867P', 'B01GGKYKQM', 'B09TWH8YHM', 'B0B54Y2SNX', 'B00LUGTJGO']",28653.0,False
173,12,769,557,"['B07LFQLKFZ', 'B09N6TTHT6']",509.0,False
174,2,997,318,"['B07KSMBL2H', 'B08LPJZSSW', 'B09MZ6WZ6V', 'B07VZYMQNZ', 'B07NCKMXVZ']",2971.0,False
175,22,1416,886,['B08QHLXWV3'],6850.0,False
176,12,751,528,"['B08B6XWQ1C', 'B0BB3CBFBM']",30339.0,False
177,11,1433,440,"['B00O2R38C4', 'B09Y14JLP3', 'B0B4F2XCK3']",14097.0,False
178,27,924,790,"['B08B42LWKN', 'B0B84KSH3X']",16048.0,False
179,21,301,720,"['B01GFTEV5Y', 'B08Y55LPBF', 'B08H5L8V1L']",35077.0,False
180,19,578,46,"['B07WJV6P1R', 'B07924P3C5', 'B08KDBLMQP', 'B08T8KWNQ9']",18537.0,False
181,21,855,710,['B084MZXJNK'],1599.0,False
182,15,1363,1180,"['B0B1NX6JTN', 'B09QS8V5N8']",14598.0,False
183,18,290,940,"['B08YDFX7Y1', 'B012ELCYUG', 'B008FWZGSG', 'B07NPBG1B4']",4114.84,False
184,25,639,800,"['B0718ZN31Q', 'B07XJYYH7L', 'B083RD1J99']",1592.0,False
185,26,1029,135,"['B09CGLY5CX', 'B097XJQZ8H', 'B09F6KL23R']",5837.0,False
186,8,615,654,"['B09LV1CMGH', 'B0116MIKKC', 'B09NL7LBWT']",2097.0,False
187,26,560,903,['B088ZTJT2R'],719.0,False
188,19,344,554,['B08FY4FG5X'],649.0,False
189,5,462,942,"['B012MQS060', 'B09KLVMZ3B']",1772.0,False
190,22,94,32,['B017PDR9N0'],149.0,False
191,31,369,26,"['B00LVMTA2A', 'B09YV42QHZ', 'B0836JGZ74', 'B00J5DYCCA']",4172.0,False
192,4,652,425,"['B09NVPSCQT', 'B08Y55LPBF']",36197.0,False
193,21,112,58,['B0B25DJ352'],353.0,False
194,14,297,781,"['B08JW1GVS7', 'B084BR3QX8']",2328.0,False
195,12,1313,829,"['B09YV4MW2T', 'B07S851WX5']",5697.0,False
196,4,1125,860,"['B08GYG6T12', 'B07WKB69RS']",2537.0,False
197,24,532,97,"['B083P71WKK', 'B008FWZGSG', 'B07JJFSG2B']",2886.0,False
198,21,587,276,"['B09ZDVL7L8', 'B085CZ3SR1', 'B09JFR8H3Q']",2913.0,False
199,11,534,958,"['B07W6VWZ8C', 'B01C8P29T4', 'B08HD7JQHX']",1697.0,False
200,20,225,1056,"['B08WKCTFF3', 'B01MQ2A86A', 'B07WDKLRM4', 'B0B4F2XCK3']",29192.0,False
201,24,1350,187,"['B00SMJPA9C', 'B0B53QFZPY', 'B08D6RCM3Q']",2153.0,False
202,31,523,22,"['B07NCKMXVZ', 'B079Y6JZC8']",594.0,False
203,26,435,305,"['B017NC2IPM', 'B01LYLJ99X', 'B08MZQBFLN', 'B01N6LU1VF', 'B07NTKGW45']",4073.0,False
204,7,529,656,['B07RX42D3D'],260.0,False
205,20,640,179,"['B073BRXPZX', 'B09BN2NPBD']",1988.0,False
206,8,859,581,"['B085HY1DGR', 'B09VKWGZD7', 'B08PKBMJKS']",5184.0,False
207,18,1041,1090,"['B09V2PZDX8', 'B00LZLQ624', 'B07GXPDLYQ', 'B01M72LILF', 'B07QZ3CZ48']",2903.0,False
208,30,713,869,"['B08MXJYB2V', 'B08VJFYH6N', 'B07H5PBN54', 'B07JW9H4J1', 'B08HV25BBQ']",7092.0,False
209,25,855,127,['B0141EZMAI'],538.0,False
210,4,1057,1084,['B07F366Z51'],949.0,False
211,29,1385,389,"['B00P93X6EK', 'B09B125CFJ', 'B0746JGVDS', 'B095RTJH1M']",1854.0,False
212,2,641,841,['B08YD264ZS'],999.0,False
213,16,709,215,['B014I8SSD0'],309.0,False
214,27,1307,226,"['B0789LZTCJ', 'B09NHVCHS9', 'B09PNR6F8Q']",1024.0,False
215,22,895,215,"['B01GGKZ0V6', 'B07YFWVRCM', 'B08CFJBZRK', 'B09ZQK9X8G', 'B07966M8XH']",13801.0,False
216,13,304,783,['B08Y1SJVV5'],198.0,False
217,2,900,318,['B09RWQ7YR6'],46999.0,False
218,23,58,973,"['B09VZBGL1N', 'B09C6HWG18', 'B09ZPL5VYM']",2238.0,False
219,6,1000,294,"['B0B15CPR37', 'B0187F2IOK', 'B0BBMPH39N', 'B095JQVC7N', 'B09F9YQQ7B']",105775.0,False
220,31,87,267,"['B009DA69W6', 'B09XXZXQC1', 'B00V4BGDKU', 'B074CWD7MS']",31346.0,False
221,18,425,66,"['B0758F7KK7', 'B0BBMPH39N', 'B07XLML2YS', 'B09RWQ7YR6', 'B0B3CQBRB4']",79185.0,False
222,27,729,703,['B078G6ZF5Z'],1398.0,False
223,28,968,616,"['B09NFSHCWN', 'B06XDKWLJH', 'B09YLWT89W']",14797.0,False
224,3,207,1178,"['B09TP5KBN7', 'B09NL4DJ2Z', 'B08ZJDWTJ1', 'B0B61HYR92', 'B078JF6X9B']",8280.0,False
225,19,110,1154,"['B07J2BQZD6', 'B01DJJVFPC', 'B08LT9BMPP', 'B08HLZ28QC', 'B08SBH499M']",3811.0,False
226,11,955,200,"['B09CMP1SC8', 'B078JDNZJ8', 'B0B25LQQPC']",7504.0,False
227,22,627,12,"['B071113J7M', 'B0B1MDZV9C', 'B09V2Q4QVQ']",9475.0,False
228,9,199,88,"['B09YLXYP7Y', 'B07VX71FZP']",1736.0,False
229,2,1116,415,"['B01LY9W8AF', 'B09RWZRCP1', 'B08497Z1MQ', 'B07PFJ5W31']",2534.06,False
230,2,338,809,['B08LPJZSSW'],399.0,False
231,25,1368,60,"['B00NH11PEY', 'B08LKS3LSP']",743.0,False
232,29,1332,29,"['B09W5XR9RT', 'B08S7V8YTN']",4109.0,False
233,17,412,256,"['B09GFPVD9Y', 'B08MZNT7GP']",20998.0,False
234,28,1097,504,"['B08P9RYPLR', 'B01J1CFO5I']",428.0,False
235,17,1072,1186,"['B00N1U9AJS', 'B0BDYW3RN3', 'B08NCKT9FG', 'B08G43CCLC', 'B07PLHTTB4']",2736.0,False
236,19,269,147,['B08D9MNH4B'],5899.0,False
237,31,1297,1119,"['B07989VV5K', 'B00K57MR22', 'B07MDRGHWQ', 'B07QZ3CZ48']",13217.0,False
238,4,714,9,"['B08CF3D7QR', 'B0B5LVS732', 'B08MTCKDYN', 'B07KY3FNQP', 'B08MVSGXMY']",6544.0,False
239,10,1100,103,"['B097ZQTDVZ', 'B07RX14W1Q', 'B07VVXJ2P5']",994.0,False
240,4,936,495,"['B0B3RSDSZ3', 'B07XJWTYM2', 'B082T6V3DT', 'B077Z65HSD']",6972.0,False
241,11,729,479,"['B07XLML2YS', 'B0BBWJFK5C', 'B0B5CGTBKV', 'B00LHZW3XY', 'B07DJLFMPS']",10260.0,False
242,3,771,283,"['B08WLY8V9S', 'B0B19VJXQZ', 'B09F6S8BT6']",55305.0,False
243,13,450,299,"['B0949FPSFY', 'B09JS94MBV', 'B08MXJYB2V', 'B0B5RP43VN']",6121.0,False
244,22,26,97,['B00P93X6EK'],157.0,True
245,2,631,852,"['B0B19VJXQZ', 'B099PR2GQJ', 'B0B9XLX8VR', 'B00KRCBA6E']",69047.0,False
246,31,215,719,['B08Y1TFSP6'],447.0,False
247,27,676,418,"['B09NNHFSSF', 'B0B5LVS732', 'B07ZJND9B9']",6995.0,False
248,6,849,1149,"['B0B5ZF3NRK', 'B07WHQBZLS']",18697.0,False
249,21,707,933,"['B0BMXMLSMM', 'B081FJWN52', 'B0B21C4BMX', 'B07JH1C41D', 'B01NCVJMKX']",2113.0,False
250,17,6,316,"['B01LY9W8AF', 'B00CEQEGPI']",2343.06,False
251,31,328,218,"['B08G43CCLC', 'B0BHNHMR3H', 'B09XB7SRQ5', 'B0BHZCNC4P', 'B00JBNZPFM']",17414.0,False
252,11,1288,21,"['B0981XSZJ7', 'B0BC9BW512', 'B09LMMFW3S', 'B08H6B3G96', 'B00DJ5N9VK']",23026.0,False
253,5,219,374,"['B08K4RDQ71', 'B07FL3WRX5', 'B08WJ86PV2', 'B084MZXJNK']",5546.0,False
254,29,241,285,"['B095K14P86', 'B06XFTHCNY', 'B07GXHC691']",1137.0,False
255,31,127,1088,"['B087FXHB6J', 'B01LYLJ99X', 'B0BBLHTRM9']",1347.0,False
256,23,554,365,"['B0BMFD94VD', 'B0B3XY5YT4', 'B09KPXTZXN', 'B09Y5MP7C4']",33437.0,False
257,8,206,618,"['B08WLY8V9S', 'B071R3LHFM']",3324.0,False
258,27,1408,128,"['B086X18Q71', 'B0BNDRK886']",9984.0,False
259,30,164,743,"['B09HS1NDRQ', 'B09KGV7WSV', 'B07YZG8PPY']",5837.0,False
260,23,168,344,"['B07P434WJY', 'B0B5F3YZY4', 'B08K4RDQ71', 'B006LW0WDQ']",1746.0,False
261,10,61,708,"['B0B3DV7S9B', 'B086199CWG', 'B015OW3M1W', 'B07JW9H4J1', 'B08Y5QJXSR']",9123.0,False
262,18,685,12,"['B0BCVJ3PVP', 'B0BHYJ8CVF', 'B0BMGG6NKT']",12147.0,False
263,24,444,1141,"['B00LVMTA2A', 'B09BNXQ6BR', 'B09VCHLSJF', 'B07XLCFSSN', 'B09YLWT89W']",44919.0,False
264,1,9,23,"['B08PFSZ7FH', 'B09KH58JZR', 'B08VS3YLRK', 'B08WKG2MWT', 'B01LYLJ99X']",1866.0,False
265,13,1218,315,['B092JHPL72'],251.0,False
266,26,188,347,['B099K9ZX65'],20990.0,False
267,14,1436,78,"['B08N1WL9XW', 'B09BCNQ9R2', 'B07MP21WJD', 'B09YV575RK', 'B00NH11KIK']",3483.0,False
268,1,1054,912,"['B07SLNG3LW', 'B00OFM6PEO', 'B07YZG8PPY']",5407.0,False
269,19,755,866,"['B0B14MR9L1', 'B0B1YY6JJL', 'B083RCTXLL', 'B071R3LHFM']",44578.0,False
270,11,960,706,"['B0B9JZW1SQ', 'B00RGLI0ZS', 'B0B4T8RSJ1', 'B015GX9Y0W', 'B08JMC1988']",3244.0,False
271,22,951,363,"['B00KXULGJQ', 'B094JB13XL', 'B092JHPL72', 'B09YLX91QR']",4818.0,False
272,12,1445,1,"['B09HK9JH4F', 'B01M5B0TPW', 'B09MDCZJXS', 'B0B298D54H']",3482.0,False
273,10,518,0,"['B07KCMR8D6', 'B08K4PSZ3V', 'B0846D5CBP', 'B08BQ947H3']",2341.0,False
274,25,1243,1168,['B08MWJTST6'],279.0,False
